;ACP;pol;q3;q1;median;IQR;mean;std;count;optimal_count
0;all;POLICIES_buy;0.0;0.0;0.0;0.0;0.03619429191674116;0.18677329881272342;250592;9070
1;all;POLICIES_rent;1.0;0.0;0.0;1.0;0.31033310673011555;0.46262994887636744;250070;77605
2;all;POLICIES_wage;1.0;0.0;0.0;1.0;0.32921224726516407;0.469927168309925;250015;82308
3;all;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17865178904473314;0.38306047475020094;249323;44542
4;PROCESSING_ACPS_BELO HORIZONTE;POLICIES_buy;0.0;0.0;0.0;0.0;0.09422270821942774;0.2921383053884312;5487;517
5;PROCESSING_ACPS_BELO HORIZONTE;POLICIES_rent;1.0;1.0;1.0;0.0;1.0;0.0;5400;5400
6;PROCESSING_ACPS_BELO HORIZONTE;POLICIES_wage;1.0;1.0;1.0;0.0;1.0;0.0;5390;5390
7;PROCESSING_ACPS_BELO HORIZONTE;POLICIES_no_policy;1.0;1.0;1.0;0.0;1.0;0.0;5391;5391
8;PROCESSING_ACPS_FORTALEZA;POLICIES_buy;0.0;0.0;0.0;0.0;0.012003000750187547;0.10889870854688107;5332;64
9;PROCESSING_ACPS_FORTALEZA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2824510514865845;0.4501915758882071;5516;1558
10;PROCESSING_ACPS_FORTALEZA;POLICIES_wage;1.0;0.0;0.0;1.0;0.27871870397643594;0.44836880804771845;5432;1514
11;PROCESSING_ACPS_FORTALEZA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.13989253288864184;0.3468754994672327;5397;755
12;PROCESSING_ACPS_PORTO ALEGRE;POLICIES_buy;0.0;0.0;0.0;0.0;0.0015091492171288435;0.038818445174546634;5301;8
13;PROCESSING_ACPS_PORTO ALEGRE;POLICIES_rent;0.0;0.0;0.0;0.0;0.1812488817319735;0.3852242523555372;5589;1013
14;PROCESSING_ACPS_PORTO ALEGRE;POLICIES_wage;0.0;0.0;0.0;0.0;0.18857247170500183;0.39116862683511333;5478;1033
15;PROCESSING_ACPS_PORTO ALEGRE;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.046175788910679263;0.20986563660865412;5609;259
16;PROCESSING_ACPS_CAMPINAS;POLICIES_buy;0.0;0.0;0.0;0.0;0.0;0.0;5471;0
17;PROCESSING_ACPS_CAMPINAS;POLICIES_rent;1.0;0.0;1.0;1.0;0.644987956272003;0.4785169720459952;5397;3481
18;PROCESSING_ACPS_CAMPINAS;POLICIES_wage;1.0;1.0;1.0;0.0;0.9847133757961783;0.12269043697156184;5495;5411
19;PROCESSING_ACPS_CAMPINAS;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.009364671318398824;0.09631705066859754;5446;51
20;PROCESSING_ACPS_SALVADOR;POLICIES_buy;0.0;0.0;0.0;0.0;0.010337323177366704;0.10114575090874248;5514;57
21;PROCESSING_ACPS_SALVADOR;POLICIES_rent;1.0;0.0;0.0;1.0;0.28872576698663655;0.4531701650203983;5313;1534
22;PROCESSING_ACPS_SALVADOR;POLICIES_wage;1.0;0.0;0.0;1.0;0.2866371354743448;0.45219054395399166;5418;1553
23;PROCESSING_ACPS_SALVADOR;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.1503870254330999;0.3574503714006799;5426;816
24;PROCESSING_ACPS_RECIFE;POLICIES_buy;0.0;0.0;0.0;0.0;0.023982558139534885;0.15299475495787007;5504;132
25;PROCESSING_ACPS_RECIFE;POLICIES_rent;1.0;0.0;0.0;1.0;0.2866776016037908;0.4522096353932421;5487;1573
26;PROCESSING_ACPS_RECIFE;POLICIES_wage;1.0;0.0;0.0;1.0;0.27708834969438784;0.4475604944116811;5399;1496
27;PROCESSING_ACPS_RECIFE;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17022886324947986;0.37583373633332834;5287;900
28;PROCESSING_ACPS_SAO PAULO;POLICIES_buy;1.0;0.0;0.0;1.0;0.28701844075223665;0.45237026363410693;5477;1572
29;PROCESSING_ACPS_SAO PAULO;POLICIES_rent;1.0;0.0;0.0;1.0;0.28938386922938747;0.4534764001127471;5567;1611
30;PROCESSING_ACPS_SAO PAULO;POLICIES_wage;1.0;0.0;0.0;1.0;0.37071535022354696;0.4829963554025847;5368;1990
31;PROCESSING_ACPS_SAO PAULO;POLICIES_no_policy;1.0;0.0;0.0;1.0;0.2983636363636364;0.45753991832353175;5500;1641
